mep_name,assistant_type,total_assistant_changes
Veronika VRECIONOVÁ,accredited_grouping,2
Viktória FERENC,accredited,2
Vilija BLINKEVIČIŪTĖ,accredited,2
Vilis KRIŠTOPANS,accredited,2
Ana Miguel PEDRO,accredited,2
Alexandra GEESE,accredited,2
Alexandre VARAUT,accredited_grouping,2
Ana Catarina MENDES,accredited_grouping,2
Alex AGIUS SALIBA,accredited,2
Alexandr VONDRA,accredited_grouping,2
Şerban-Dimitrie STURDZA,accredited,1
Alessandra MUSSOLINI,accredited,1
Emmanouil FRAGKOS,accredited,1
Emmanouil KEFALOGIANNIS,accredited,1
Eric SARGIACOMO,accredited,1
Eric SARGIACOMO,accredited_grouping,1
Erik KALIŇÁK,accredited_grouping,1
Erik MARQUARDT,accredited_grouping,1
Esteban GONZÁLEZ PONS,accredited,1
Estelle CEULEMANS,accredited,1
Vlad-Marius BOTOŞ,accredited,1
Vytenis Povilas ANDRIUKAITIS,accredited,1
Waldemar BUDA,accredited,1
Elena YONCHEVA,accredited,1
Eleonora MELETI,accredited,1
Elisabeth DIERINGER,accredited_grouping,1
Elżbieta RAFALSKA,accredited,1
Emma RAFOWICZ,accredited_grouping,1
Sibylle BERG,accredited_grouping,1
Silvia MODIG,accredited,1
Simona BALDASSARRE,accredited,1
Sophia KIRCHER,accredited,1
Stanislav POLČÁK,accredited,1
Stefan BERGER,accredited_grouping,1
Vlad GHEORGHE,accredited,1
Vlad VASILE-VOICULESCU,accredited,1
Sarah WIENER,accredited,1
Sebastiaan STÖTELER,accredited,1
Sebastiaan STÖTELER,accredited_grouping,1
Sebastian EVERDING,accredited,1
Sebastian KRUIS,accredited_grouping,1
Sebastião BUGALHO,accredited_grouping,1
Sergei STANISHEV,accredited,1
Sergey LAGODINSKY,accredited_grouping,1
Dan BARNA,accredited,1
Daniel CASPARY,accredited_grouping,1
Daniel FREUND,accredited_grouping,1
Danilo Oscar LANCINI,accredited,1
Judita LAŠŠÁKOVÁ,accredited,1
Judita LAŠŠÁKOVÁ,accredited_grouping,1
Julie LECHANTEUX,accredited,1
Julie RECHAGNEUX,accredited_grouping,1
Claude GRUFFAT,accredited,1
Claudia GAMON,accredited,1
Constanze KREHL,accredited,1
Csaba MOLNÁR,accredited,1
Cyrus ENGERER,accredited,1
Céline IMART,accredited,1
Céline IMART,accredited_grouping,1
Dainius ŽALIMAS,accredited,1
Joanna SCHEURING-WIELGUS,accredited_grouping,1
John HOWARTH,accredited,1
Jonas SJÖSTEDT,accredited_grouping,1
Jordan BARDELLA,accredited_grouping,1
João COTRIM DE FIGUEIREDO,accredited,1
Christophe HANSEN,accredited,1
Cindy FRANSSEN,accredited,1
Claire FITA,accredited_grouping,1
Thomas WAITZ,accredited_grouping,1
Tilly METZ,accredited,1
Tobiasz BOCHEŃSKI,accredited,1
Ton DIEPEVEEN,accredited_grouping,1
Tudor CIUHODARU,accredited,1
Jiří POSPÍŠIL,accredited,1
Joachim KUHS,accredited,1
Joachim STREIT,accredited,1
Lefteris CHRISTOFOROU,accredited,1
Lena DÜPONT,accredited_grouping,1
Lena SCHILLING,accredited_grouping,1
Li ANDERSSON,accredited,1
Liesbet SOMMEN,accredited,1
Lucia VUOLO,accredited,1
Lídia PEREIRA,accredited_grouping,1
Lívia JÁRÓKA,accredited,1
Krzysztof JURGIEL,accredited,1
Krzysztof ŚMISZEK,accredited,1
Krzysztof ŚMISZEK,accredited_grouping,1
Lara MAGONI,accredited,1
Lars Patrick BERG,accredited,1
Laura BALLARÍN CEREZA,accredited,1
Laurence TROCHU,accredited,1
Laurent CASTILLO,accredited_grouping,1
Jüri RATAS,accredited,1
Kamila GASIUK-PIHOWICZ,accredited,1
Karolin BRAUNSBERGER-REINHOLD,accredited,1
Kathleen FUNCHION,accredited,1
Katrin LANGENSIEPEN,accredited_grouping,1
Klaus BUCHNER,accredited,1
Kris PEETERS,accredited,1
Kristian VIGENIN,accredited,1
Julien LEONARDELLI,accredited_grouping,1
Julien SANCHEZ,accredited,1
Julien SANCHEZ,accredited_grouping,1
Juozas OLEKAS,accredited,1
Jutta PAULUS,accredited_grouping,1
Jérémy DECERLE,accredited,1
Jérôme RIVIÈRE,accredited,1
József SZÁJER,accredited,1
Jessica STEGRUD,accredited,1
Marco CAMPOMENOSI,accredited,1
Marco DREOSTO,accredited,1
Marco FALCONE,accredited,1
Marco SQUARTA,accredited,1
Marco SQUARTA,accredited_grouping,1
Marco TARQUINIO,accredited,1
Margarida MARQUES,accredited,1
Jaroslav BŽOCH,accredited,1
Jarosław DUDA,accredited,1
Jean-Lin LACAPELLE,accredited,1
Jean-Marc GERMAIN,accredited_grouping,1
Jean-Paul GARRAUD,accredited_grouping,1
Jeannette BALJEU,accredited,1
Jens GEIER,accredited,1
Jens GIESEKE,accredited_grouping,1
Jacek PROTAS,accredited,1
Jacek SARYUSZ-WOLSKI,accredited,1
Jagna MARCZUŁAJTIS-WALCZAK,accredited,1
Jan FARSKÝ,accredited,1
Jan OLBRYCHT,accredited,1
Jan ZAHRADIL,accredited,1
Jan-Peter WARNKE,accredited,1
Janina OCHOJSKA,accredited,1
Maite PAGAZAURTUNDÚA,accredited,1
Malika SOREL,accredited_grouping,1
Malin BJÖRK,accredited,1
Manfred WEBER,accredited_grouping,1
Manuel PIZARRO,accredited,1
Marc ANGEL,accredited_grouping,1
Izabela-Helena KLOC,accredited,1
Jacek OZDOBA,accredited_grouping,1
Mariateresa VIVALDINI,accredited,1
Marie-Luce BRASIER-CLAIN,accredited_grouping,1
Marina KALJURAND,accredited_grouping,1
Marion WALSMANN,accredited_grouping,1
Marisa MATIAS,accredited,1
Mariusz KAMIŃSKI,accredited,1
Marjan ŠAREC,accredited,1
Markus BUCHHEIT,accredited,1
Christophe BAY,accredited_grouping,1
Christophe GOMART,accredited_grouping,1
Maria Da Graça CARVALHO,accredited,1
Maria OHISALO,accredited,1
Maria SPYRAKI,accredited,1
Maria ZACHARIA,accredited,1
Maria-Manuel LEITÃO-MARQUES,accredited,1
Marian-Jean MARINESCU,accredited,1
Charlie WEIMERS,accredited,1
Chloé RIDEL,accredited_grouping,1
Chris MACMANUS,accredited,1
Christian DOLESCHAL,accredited_grouping,1
Christian EHLER,accredited_grouping,1
Christine SCHNEIDER,accredited_grouping,1
Christine SINGER,accredited,1
Christophe BAY,accredited,1
Carola RACKETE,accredited_grouping,1
Carolina MORACE,accredited,1
Caroline ROOSE,accredited,1
Catarina MARTINS,accredited,1
Caterina CHINNICI,accredited_grouping,1
Catherine CHABAUD,accredited,1
Catherine ROWETT,accredited,1
Cecilia STRADA,accredited,1
Isabel SANTOS,accredited,1
Isabelle LE CALLENNEC,accredited_grouping,1
Martin HLAVÁČEK,accredited,1
Martin HÄUSLING,accredited_grouping,1
Martin SCHIRDEWAN,accredited_grouping,1
Martin SONNEBORN,accredited,1
Martin SONNEBORN,accredited_grouping,1
Martina MICHELS,accredited,1
Hildegard BENTELE,accredited,1
Hildegard BENTELE,accredited_grouping,1
Hélder SOUSA SILVA,accredited,1
Hélder SOUSA SILVA,accredited_grouping,1
Ignazio CORRAO,accredited,1
Ignazio Roberto MARINO,accredited,1
Irène TOLLERET,accredited,1
Isabel CARVALHAIS,accredited,1
Hans NEUHOFF,accredited,1
Harald VILIMSKY,accredited,1
Harald VILIMSKY,accredited_grouping,1
Heidi HAUTALA,accredited,1
Helmut BRANDSTÄTTER,accredited_grouping,1
Heléne FRITZON,accredited,1
Hilde VAUTMANS,accredited,1
Hilde VAUTMANS,accredited_grouping,1
Markus FERBER,accredited_grouping,1
Marlena MALĄG,accredited,1
Marta TEMIDO,accredited,1
Dimitris TSIODRAS,accredited,1
Dino GIARRUSSO,accredited,1
Elena DONAZZAN,accredited,1
Elena LIZZI,accredited,1
Elena NEVADO DEL CAMPO,accredited,1
Mélissa CAMARA,accredited,1
Benedetta SCUDERI,accredited,1
Bogdan Andrzej ZDROJEWSKI,accredited,1
Brando BENIFEI,accredited_grouping,1
Bruno GONÇALVES,accredited,1
Carla TAVARES,accredited,1
Carlo CALENDA,accredited,1
Carlo FIDANZA,accredited,1
Milan UHRÍK,accredited_grouping,1
Mimmo LUCANO,accredited,1
Mirosława NYKIEL,accredited,1
Monika BEŇOVÁ,accredited_grouping,1
Monika HOHLMEIER,accredited_grouping,1
Monika VANA,accredited,1
Murielle LAURENT,accredited_grouping,1
Mélanie DISDIER,accredited_grouping,1
Michael KAUCH,accredited,1
Michael VON DER SCHULENBURG,accredited,1
Michał DWORCZYK,accredited,1
Michał SZCZERBA,accredited,1
Michele PICARO,accredited,1
Mick WALLACE,accredited,1
Milan MAZUREK,accredited_grouping,1
Milan UHRÍK,accredited,1
Martine KEMP,accredited,1
Mary KHAN,accredited,1
Mathilde ANDROUËT,accredited_grouping,1
Matteo RICCI,accredited,1
Matthieu VALET,accredited_grouping,1
Merja KYLLÖNEN,accredited_grouping,1
Michael BLOSS,accredited_grouping,1
Michael GAHLER,accredited_grouping,1
Carlos ZORRINHO,accredited,1
Niclas HERBST,accredited_grouping,1
Nico SEMSROTT,accredited,1
Nicola PROCACCINI,accredited_grouping,1
Nicolás PASCUAL DE LA PARTE,accredited,1
Nikos ANDROULAKIS,accredited,1
Nikos PAPPAS,accredited,1
Nora MEBAREK,accredited_grouping,1
David McALLISTER,accredited,1
Deirdre CLUNE,accredited,1
Demetris PAPADAKIS,accredited,1
Dennis RADTKE,accredited_grouping,1
Derk Jan EPPINK,accredited,1
Diana IOVANOVICI ŞOŞOACĂ,accredited,1
Diana RIBA I GINER,accredited_grouping,1
Dietmar KÖSTER,accredited,1
Hanna GEDIN,accredited_grouping,1
Hanna GRONKIEWICZ-WALTZ,accredited,1
Hannah NEUMANN,accredited,1
Hannah NEUMANN,accredited_grouping,1
Dario TAMBURRANO,accredited,1
David MCALLISTER,accredited,1
David MCALLISTER,accredited_grouping,1
David Maria SASSOLI,accredited,1
Carlo FIDANZA,accredited_grouping,1
Grzegorz BRAUN,accredited,1
Grzegorz TOBISZOWSKI,accredited,1
Grégory ALLIONE,accredited,1
Guido REIL,accredited,1
Guillaume PELTIER,accredited,1
Gunnar BECK,accredited,1
Guy VERHOFSTADT,accredited,1
Pierre JOUVET,accredited,1
Pierre JOUVET,accredited_grouping,1
Pierre PIMPIE,accredited,1
Pierre PIMPIE,accredited_grouping,1
Pierre-Romain THIONNET,accredited_grouping,1
Pierrette HERZBERGER-FOFANA,accredited,1
Annalisa CORRADO,accredited,1
Anne-Sophie FRIGOUT,accredited,1
Petar VITANOV,accredited,1
Peter JAHR,accredited,1
Peter LIESE,accredited_grouping,1
Peter LUNDGREN,accredited,1
Petra KAMMEREVERT,accredited,1
Philippe OLIVIER,accredited_grouping,1
Pierfrancesco MAJORINO,accredited,1
Pierfrancesco MARAN,accredited,1
Patrizia TOIA,accredited,1
Patryk JAKI,accredited,1
Patryk JAKI,accredited_grouping,1
Paulo CUNHA,accredited,1
Paulo CUNHA,accredited_grouping,1
Paulo DO NASCIMENTO CABRAL,accredited_grouping,1
Paulo RANGEL,accredited,1
Pernando BARRENA ARZA,accredited,1
Norbert LINS,accredited_grouping,1
Oliver SCHENK,accredited,1
Oliver SCHENK,accredited_grouping,1
Ondřej DOSTÁL,accredited,1
Ondřej KRUTÍLEK,accredited,1
Paolo INSELVINI,accredited,1
Pascale PIERA,accredited_grouping,1
Pasquale TRIDICO,accredited,1
Raúl DE LA HOZ QUINTANO,accredited,1
René AUST,accredited_grouping,1
Robert BIEDROŃ,accredited,1
Robert BIEDROŃ,accredited_grouping,1
Robert ROOS,accredited,1
Fabrice LEGGERI,accredited_grouping,1
Fernando NAVARRETE ROJAS,accredited,1
Filip TUREK,accredited,1
Pilar del CASTILLO VERA,accredited,1
Rachel BLOM,accredited_grouping,1
Radosław SIKORSKI,accredited,1
Raffaele FITTO,accredited,1
Raffaele STANCANELLI,accredited,1
Ralf SEEKATZ,accredited_grouping,1
Raphaël GLUCKSMANN,accredited_grouping,1
Rasmus ANDRESEN,accredited_grouping,1
Aura SALLA,accredited,1
Aurore LALUCQ,accredited_grouping,1
Aušra SEIBUTYTĖ,accredited,1
Axel VOSS,accredited_grouping,1
Barbara Ann GIBSON,accredited,1
Barbara THALER,accredited,1
Bartłomiej SIENKIEWICZ,accredited,1
Beata MAZUREK,accredited,1
Anne-Sophie FRIGOUT,accredited_grouping,1
Annika BRUNA,accredited,1
Antonio DECARO,accredited,1
Antonius MANDERS,accredited,1
Antony HOOK,accredited,1
Arnaud DANJEAN,accredited,1
Assita KANKO,accredited,1
Attila ARA-KOVÁCS,accredited,1
Rosa D'AMATO,accredited,1
Rosanna CONTE,accredited,1
Roxana MÎNZATU,accredited,1
Sabine VERHEYEN,accredited,1
Sabine VERHEYEN,accredited_grouping,1
Sabrina PIGNEDOLI,accredited,1
Sabrina REPP,accredited,1
Sakis ARNAOUTOGLOU,accredited,1
Gilles PENNELLE,accredited_grouping,1
Giorgio GORI,accredited,1
Giovanni CROSETTO,accredited,1
Giuseppe ANTOCI,accredited,1
Giuseppe LUPO,accredited,1
Roberto VANNACCI,accredited,1
Rody TOLASSY,accredited,1
Rody TOLASSY,accredited_grouping,1
Friedrich PÜRNER,accredited,1
Gabriel MATO,accredited,1
Gabriela FIREA,accredited,1
Gaetano PEDULLA',accredited,1
Georg MAYER,accredited,1
Georgios AFTIAS,accredited,1
Gilles LEBRETON,accredited,1
Gilles PENNELLE,accredited,1
Flavio TOSI,accredited,1
France JAMET,accredited_grouping,1
Francesco VENTOLA,accredited,1
Francesco VENTOLA,accredited_grouping,1
Francisco ASSIS,accredited,1
Francisco GUERREIRO,accredited,1
François KALFON,accredited_grouping,1
François-Xavier BELLAMY,accredited_grouping,1
Adina VĂLEAN,accredited,1
Aleksandar NIKOLIC,accredited_grouping,1
Özlem DEMIREL,accredited_grouping,1
Ľubica KARVAŠOVÁ,accredited,1
Ľuboš BLAHA,accredited_grouping,1
Alberico GAMBINO,accredited,1
Adrian-George AXINIA,accredited,1
Alessandro CIRIANI,accredited,1
Andreas SCHWAB,accredited,1
Andreas SCHWAB,accredited_grouping,1
Andrus ANSIP,accredited,1
András Tivadar KULJA,accredited,1
Adrian-Dragoş BENEA,accredited,1
Adina-Ioana VĂLEAN,accredited,1
Alessandra BASSO,accredited,1
Zbigniew KUŹMIUK,accredited,1
Stéphane BIJOUX,accredited,1
Sven MIKSER,accredited_grouping,1
Sven SCHULZE,accredited,1
Sven SIMON,accredited_grouping,1
Sylvie BRUNET,accredited,1
Sylwia SPUREK,accredited,1
Sándor RÓNAI,accredited,1
Andrea WECHSLER,accredited_grouping,1
Evelyne GEBHARDT,accredited,1
Evžen TOŠENOVSKÝ,accredited,1
Ewa ZAJĄCZKOWSKA-HERNIK,accredited,1
Fabrice LEGGERI,accredited,1
Stefan KÖHLER,accredited,1
Stefan KÖHLER,accredited_grouping,1
Stefano CAVEDAGNA,accredited,1
Stelios KYMPOUROPOULOS,accredited,1
Anna CAVAZZINI,accredited_grouping,1
Sérgio HUMBERTO,accredited_grouping,1
Terry REINTKE,accredited_grouping,1
Thierry MARIANI,accredited_grouping,1
Thijs REUTEN,accredited,1
Thomas BAJADA,accredited,1
Thomas PELLERIN-CARLIN,accredited,1
Thomas PELLERIN-CARLIN,accredited_grouping,1
Veronika CIFROVÁ OSTRIHOŇOVÁ,accredited,1
Veronika CIFROVÁ OSTRIHOŇOVÁ,accredited_grouping,1
Virginie JORON,accredited_grouping,1
Virginijus SINKEVIČIUS,accredited,1
André ROUGÉ,accredited_grouping,1
Angelika NIEBLER,accredited_grouping,1
Angéline FURET,accredited_grouping,1
Anna BRYŁKA,accredited,1
Ana MIRANDA PAZ,accredited,1
Udo BULLMANN,accredited,1
Valentina PALMISANO,accredited,1
Valentino GRANT,accredited,1
Valérie DELOGE,accredited_grouping,1
Valérie DEVAUX,accredited,1
Valérie HAYER,accredited,1
Verena MERTENS,accredited_grouping,1
Alessandro ZAN,accredited,1
Alessandro ZAN,accredited_grouping,1
Alexander JUNGBLUTH,accredited,1
Alexander SELL,accredited,1
Alexandra GEESE,accredited_grouping,1
Alexandra MEHNERT,accredited,1
Alexandra MEHNERT,accredited_grouping,1
Alfred SANT,accredited,1
